2_4_diacetylphloroglucinol,BGC0000281.1
polysaccharide_c,BGC0001412.1
polytheonamides,BGC0000598.1
porothramycin,BGC0000409.1
PQS,BGC0000922.1
pradimicin,BGC0000256.1
prenylagaramide_B_C,BGC0000479.1
PreQ0_base,BGC0001217.1
pristinamycin,BGC0000952.1
prodigiosin,BGC0000257.1
prodigiosin_2,BGC0000258.1
prodigiosin_3,BGC0000259.1
prodigiosin_4,BGC0000260.1
promysalin,BGC0000921.1
pseudomonine,BGC0000410.1
pseudomycoicidin,BGC0001210.1
pseudopyronine,BGC0001285.1
psymberin,BGC0001110.1
puromycin,BGC0000878.1
putisolvin,BGC0000411.1
puwainaphycins,BGC0001125.1
pyochelin,BGC0000412.1
pyocyanine,BGC0000936.1
pyoluteorin,BGC0000127.1
pyoluteorin_2,BGC0000128.1
pyoverdine,BGC0000413.1
pyralomicin,BGC0001038.1
pyridomycin,BGC0001039.1
pyrrolnitrin,BGC0000924.1
pyrrolomycin,BGC0000130.1
pyrrolomycin_2,BGC0000131.1
pyrrolomycin_3,BGC0000132.1
quartromicin,BGC0000133.1
quinocarcin,BGC0000414.1
quinolobactin,BGC0000925.1
quinomycin,BGC0000415.1
R1128,BGC0000261.1
rabelomycin,BGC0000262.1
rakicidin,BGC0001327.1
rakicidin_2,BGC0001328.1
rakicidin_d,BGC0001329.1
ralsolamycin,BGC0001363.1
rapamycin,BGC0001040.1
ravidomycin,BGC0000263.1
rebeccamycin,BGC0000821.1
rebeccamycin_2,BGC0000822.1
rebeccamycin_3,BGC0000823.1
red_pigment,BGC0000285.1
reductasporine,BGC0001224.1
resistomcycin,BGC0000264.1
retimycin,BGC0001228.1
reveromycin,BGC0000135.1
rhizocticin,BGC0000926.1
rhizopodins,BGC0001111.1
rhizoxin,BGC0001112.1
rhobacter_capsulatus_cartenoid,NC_014034
rhobacter_sphaeroides_241_carotenoid,NC_007493
rhodochelin,BGC0000417.1
rhodomycin,BGC0000265.1
ribostamycin,BGC0000713.1
rifamycin,BGC0000136.1
rifamycin_2,BGC0000137.1
rimocidin,BGC0000138.1
rishirilide_b,BGC0001179.1
ristocetin,BGC0000418.1
ristomycin,BGC0000419.1
RK_682,BGC0000140.1
roseoflavin,BGC0000927.1
rubivivax_gelatnosus_carotenoid,AH012710
rubradirin,BGC0000141.1
rubrivinodin,BGC0000576.1
rubromycin,BGC0000266.1
ruminococcin_a,BGC0000545.1
s_layer_glycan,BGC0000794.1
s_layer_glycan_2,BGC0000795.1
s_layer_glycan_3,BGC0000796.1
safracin,BGC0000421.1
saframycin_a,BGC0000422.1
SAL_2242,BGC0000546.1
salinamide,BGC0001230.1
salinilactam,BGC0000142.1
salinomycin,BGC0000144.1
salinomycin_2,BGC0000143.1
salinosporamide,BGC0001041.1
salinosporamide_a,BGC0000145.1
salivaricin_9,BGC0000547.1
salivaricin_a,BGC0000548.1
salivaricin_crl1328,BGC0000624.1
salivaricin_d,BGC0000549.1
salivaricin_g32,BGC0000550.1
sanglifehrin_a,BGC0001042.1
SapB,BGC0000551.1
saprolmycin_e,BGC0001384.1
saxitoxin,BGC0000188.1
SBI_06990,BGC0001229.1
scabichelin,BGC0000423.1
Sch47554_47555,BGC0000268.1
SCO_2138,BGC0000595.1
scytonemin,BGC0000824.1
serobactins,BGC0000424.1
sessilin,BGC0000425.1
SF2575,BGC0000269.1
sgr_ptms,BGC0001043.1
shinorine,BGC0000427.1
sibiromycin,BGC0000428.1
simocyclinone,BGC0001072.1
simocyclinone_2,BGC0000270.1
simocyclinone_3,BGC0000835.1
simocyclinone_4,BGC0001308.1
siomycin,BGC0000611.1
siomycin_2,BGC0000655.1
sisomicin,BGC0000714.1
skyllamycin,BGC0000429.1
SLI_2138,BGC0000596.1
Smb_A_Smb_B,BGC0000552.1
sodorifen,BGC0001361.1
sorangicin,BGC0000184.1
soraphen,BGC0000147.1
spectinomycin,BGC0000715.1
spectinomycin_2,BGC0000716.1
sphingan_polysaccharide,BGC0000797.1
sphingonodin_ii,BGC0000577.1
spinosad,BGC0000148.1
spirangien,BGC0000149.1
spiruchostatin,BGC0001045.1
splenocin,BGC0001216.1
spliceostatin,BGC0001113.1
spore_pigment,BGC0000271.1
spore_pigment_2,BGC0000272.1
sporolation_killing_factor,BGC0000601.1
sporolide,BGC0000150.1
spumigin,BGC0000430.1
SRO14_3108,BGC0000554.1
SRO15_2005,BGC0000578.1
SRO15_2212,BGC0000553.1
SSV_2083,BGC0000579.1
stambomycin,BGC0000151.1
staphylobactin,BGC0000943.1
staphylococcin_c55_alpha,BGC0000555.1
staphyloferrin,BGC0000944.1
staurosporine,BGC0000825.1
staurosporine_2,BGC0000826.1
staurosporine_3,BGC0000827.1
steffimycin,BGC0000273.1
stenothricin,BGC0000431.1
stewartan,BGC0000763.1
stigmatellin,BGC0000153.1
streptazone_e,BGC0001296.1
streptide,BGC0001209.1
streptin,BGC0000556.1
streptococcin_a_ff22,AF026542
streptocollin,BGC0001226.1
streptolydigin,BGC0001046.1
streptolysin,BGC0000566.1
streptomonomicin,BGC0001176.1
streptomycin,BGC0000717.1
streptomycin_2,BGC0000718.1
streptomycin_3,BGC0000724.1
streptothricin,BGC0000432.1
sublancin_168,BGC0000558.1
subtilin,BGC0000559.1
subtilomycin,BGC0000560.1
subtilosin_a,AL009126
subtilosin_a_2,BGC0000602.1
succinoglycan,BGC0000802.1
surfactin,BGC0000433.1
svaricin,BGC0001382.1
SW_163,BGC0000434.1
SWA_2138,BGC0000597.1
syringafactin,BGC0000435.1
syringolin_a,BGC0000436.1
syringolin_a_2,BGC0001047.1
syringomycin,BGC0000437.1
syringopeptin,BGC0000438.1
t-muurolol,BGC0000675.1
t3_toxin,BGC0000928.1
tabtoxin,BGC0000846.1
taiwanchelin,BGC0001189.1
tallysomycin,BGC0001048.1
tambromycin,BGC0001368.1
taromycin,BGC0000439.1
tartrolon,BGC0000185.1
tautomycetin,BGC0000157.1
tautomycin,BGC0000159.1
taxlllaid,BGC0001133.1
teichomycin,BGC0001395.1
teichuronic_acid,BGC0000868.1
teicoplanin,BGC0000440.1
teicoplanin_2,BGC0000441.1
teixobactin,BGC0001207.1
teleocidin_b,BGC0001085.1
telomycin,BGC0001406.1
tenuecyclamide_A_C,BGC0000480.1
tetarimycin,BGC0000274.1
tetracenomycin,BGC0000275.1
tetrocarcin_a,BGC0000162.1
tetronasin,BGC0000163.1
tetronomycin,BGC0000164.1
thailandamide,BGC0000186.1
thailanstatin,BGC0001114.1
thanamycin,BGC0000443.1
thaxtomin,BGC0000444.1
thermophilin_1277,BGC0000561.1
thienamycin,BGC0000847.1
thienodolin,BGC0001374.1
thiocillin,BGC0000612.1
thiocoraline,BGC0000445.1
thiolactomycin,BGC0001237.1
thiolactomycin_2,BGC0001353.1
thiolutin,BGC0001193.1
thiomarinol,BGC0001115.1
thiomuracins,BGC0000613.1
thiostrepton,BGC0000614.1
thiotetroamide,BGC0001236.1
thioviridamide,BGC0000625.1
thuggacin,BGC0001051.1
thuggacin_2,BGC0001342.1
thuricin,BGC0000626.1
thuricin_cd,BGC0000599.1
thuricin_h,BGC0000600.1
thusin,BGC0001391.1
tiacumicin,BGC0000165.1
tiancimycin,BGC0001378.1
tilivaline,BGC0000446.1
tirandamycinn,BGC0001052.1
tln-05220,BGC0001062.1
tobramycin,BGC0000719.1
tobramycin_2,BGC0000720.1
tobramycin_3,BGC0000721.1
tolaasin,BGC0000447.1
tomaymycin,BGC0000448.1
toxoflavin,BGC0000929.1
toyocamycin,BGC0000879.1
toyocamycin_2,BGC0000881.1
TP_1161,BGC0000615.1
trichamide,BGC0000481.1
tridecaptin,BGC0000449.1
trifolitoxin,BGC0000567.1
triostin_a,BGC0000450.1
tropoditheitic_acid,BGC0000932.1
tropoditheitic_acid_2,BGC0001362.1
tu_3010,BGC0001352.1
tubulysin,BGC0001053.1
tubulysin_2,BGC0001344.1
tunicamycin,BGC0000880.1
turnerbactin,BGC0000451.1
tylactone,BGC0000166.1
tyrocidine,BGC0000452.1
U_68204,BGC0001354.1
U_68204_2,BGC0001355.1
uberolysin,BGC0000494.1
UK_68_597,BGC0001178.1
uncialamycin,BGC0001377.1
undecylprodigiosin,BGC0001063.1
urdamycin,BGC0000277.1
urdamycin_2,BGC0000278.1
validamycin,BGC0000722.1
validamycin_2,BGC0000723.1
valinomycin,BGC0000453.1
vanchrobactin,BGC0000454.1
vancomycin,BGC0000455.1
venezuelin,BGC0000563.1
versipelostatin,BGC0001204.1
vibriobactin,BGC0000945.1
vibrioferrin,BGC0000946.1
vibrioferrin_2,BGC0000947.1
vicenistatin,BGC0000167.1
vicibactin,BGC0000457.1
viguiepinol,BGC0000286.1
violacein,BGC0000829.1
violacein_2,BGC0000830.1
violacein_3,BGC0000828.1
violacein_4,BGC0000831.1
viomycin,BGC0000458.1
virginiamycin,BGC0001116.1
viridisamide,BGC0000471.1
viscosin,BGC0001312.1
vpe,BGC0000871.1
vulnibactin,BGC0000460.1
WAP_8294A2,BGC0000461.1
warkmycin,BGC0001438.1
welwitindolinone,BGC0000668.1
WLIP,BGC0000462.1
WS9326,BGC0001297.1
xanthan,BGC0000800.1
xanthoferrin,BGC0001408.1
xantholipin,BGC0000279.1
xantholysin,BGC0000463.1
xanthomonadin,BGC0000840.1
xanthomonin,BGC0000580.1
xenoamicins,BGC0000464.1
xenocoumacin,BGC0001054.1
xenocyloins,BGC0000189.1
xenotetrapeptide,BGC0001132.1
xiamenmycin,BGC0000933.1
xiamyicin,BGC0000665.1
yatakemycin,BGC0000466.1
yersiniabactin,BGC0000467.1
yersiniabactin_2,BGC0001055.1
zeamine,BGC0001056.1
zeaxanthin,BGC0000656.1
zorbamycin,BGC0001058.1
zunyimycin_a,BGC0001366.1
zwittermycin_a,BGC0001059.1
